id,name,repository,repository_url,forge_kind,forge_host,owner,homepage,description,status,decision_reason,primary_category,capabilities,das_focus,license_spdx,license_class,pypi,conda,julia,canonical_doi,reviewed_at,mirror_result,mirror_error,git_ref,commits,merges,first_commit_at,last_commit_at,authors,insertions,deletions,lines_total,lines_by_language,primary_language,stars,forks,contributors,contributors_basis,releases,created_at,pushed_at,forge_last_commit_at,latest_release_at,archived,visibility,language,has_docs,has_tests,has_ci,license_detected,pypi_downloads_30d,pypi_downloads_180d,conda_downloads_total,dependencies,practices,citations_total,canonical_citations,mirror_missing,git_missing,forge_missing,registry_missing,publications_missing,practices_missing,mirror_scanned_at,git_scanned_at,forge_scanned_at,registry_scanned_at,publications_scanned_at,practices_scanned_at
das-simulator,fiberoptics-das-simulator,equinor/fiberoptics-das-simulator,https://github.com/equinor/fiberoptics-das-simulator,github,github.com,equinor,,Reference implementation of a real-time DAS producer for interrogator interfaces.,included,Reusable DAS reference implementation under Apache-2.0; the only catalogued project written in Java.,modeling,interoperability;simulation;streaming,das-native,Apache-2.0,osi-approved,,,,,2026-08-28,unchanged,,main,230,15,2020-11-13T09:11:46+01:00,2026-02-17T11:13:52+01:00,5,17536,6100,8308,Java=8308,Java,2,3,5,"linked accounts, bots removed",4,2020-11-13T08:11:44Z,2026-08-27T14:18:49Z,2026-02-17T10:13:52Z,2021-10-12T08:30:27Z,False,public,Java,False,False,True,Apache-2.0,,,,,readme=True;license_file=True;packaging=True;tests=True;ci=True;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:03:59+00:00,2026-08-28T12:55:23+00:00,2026-08-28T15:04:00+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-source-locator,DASSourceLocator,leabouffaut/DASSourceLocator,https://github.com/leabouffaut/DASSourceLocator,github,github.com,leabouffaut,,Time-of-arrival annotation and source location tooling for DAS data.,included,"Reusable DAS annotation application published with no license file, which grants no reuse rights.",visualization-annotation,annotation;processing;visualization,das-native,,unlicensed,,,,,2026-08-28,unchanged,,main,16,0,2024-11-21T11:57:08-05:00,2024-11-21T14:08:02-05:00,1,4047,1070,2559,Python=2559,Python,1,0,1,"linked accounts, bots removed",0,2024-11-21T16:57:38Z,2024-11-21T19:08:02Z,2024-11-21T19:08:02Z,,False,public,Python,False,False,False,,,,,,readme=True;license_file=False;packaging=False;tests=False;ci=False;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:03:59+00:00,2026-08-28T12:55:25+00:00,2026-08-28T15:04:00+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-to-store,das-to-store,jacobrdavis/das-to-store,https://github.com/jacobrdavis/das-to-store,github,github.com,jacobrdavis,,"Transformation of DAS interrogator output into cloud-native, analysis-ready stores.",included,Reusable DAS-specific conversion tooling with an MIT license.,compression-storage,conversion;data-management;io;object-storage,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,main,15,0,2026-05-18T18:45:17-04:00,2026-06-10T13:40:01-04:00,2,2915,82,867,Jupyter=131;Python=716;Shell=20,Python,0,0,1,"linked accounts, bots removed",0,2026-05-18T22:45:16Z,2026-06-10T17:40:05Z,2026-06-10T17:40:01Z,,False,public,Jupyter Notebook,False,False,False,MIT,,,,,readme=True;license_file=True;packaging=True;tests=False;ci=False;coverage=False;docs=False;examples=True;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:03:59+00:00,2026-08-28T12:55:27+00:00,2026-08-28T15:04:00+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-toolkit,das-toolkit,RobbinLuo/das-toolkit,https://github.com/RobbinLuo/das-toolkit,github,github.com,RobbinLuo,,Python toolkit for common DAS reading and processing steps.,included,Reusable DAS-specific Python toolkit with an MIT license.,processing,io;processing;visualization,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,main,9,0,2022-10-17T03:12:40+00:00,2022-10-31T23:43:06+08:00,2,7087,825,409,Jupyter=280;Python=129,Jupyter,20,2,1,"linked accounts, bots removed",0,2022-10-17T03:12:39Z,2022-10-31T15:45:59Z,2022-10-31T15:43:06Z,,False,public,Jupyter Notebook,False,False,False,MIT,,,,,readme=True;license_file=True;packaging=False;tests=False;ci=False;coverage=False;docs=False;examples=True;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:03:59+00:00,2026-08-28T12:55:29+00:00,2026-08-28T15:04:00+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-toolkit-filters,DAS Processing Toolkit,shbokijon/DAS-Processing-Toolkit,https://github.com/shbokijon/DAS-Processing-Toolkit,github,github.com,shbokijon,,Wavelet denoising and digital filters for DAS preprocessing.,included,"Reusable MIT-licensed package with a test suite and coverage configuration. Recorded for review: one of its two commit authors is an AI assistant, so much of the code is machine-written.",processing,denoising;processing,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,main,13,7,2025-11-09T14:56:24+05:00,2025-11-09T17:25:17+05:00,2,7377,5,4802,Jupyter=1497;Python=3305,Python,2,0,2,"linked accounts, bots removed",0,2025-11-09T09:56:24Z,2025-11-13T09:11:05Z,2025-11-09T12:25:17Z,,False,public,Jupyter Notebook,False,True,False,MIT,,,,,readme=True;license_file=True;packaging=True;tests=True;ci=False;coverage=True;docs=False;examples=True;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:03:59+00:00,2026-08-28T12:55:31+00:00,2026-08-28T15:04:00+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-tools-eth,DAS_Tools,afichtner/DAS_Tools,https://github.com/afichtner/DAS_Tools,github,github.com,afichtner,,"Reading, writing, and frequency-wavenumber filtering routines for DAS data.",included,"Reusable DAS-specific Python tools published with no license file, which grants no reuse rights.",processing,io;processing;visualization,das-native,,unlicensed,,,,,2026-08-28,unchanged,,master,1,0,2022-10-04T12:01:05+02:00,2022-10-04T12:01:05+02:00,1,747,0,745,Python=745,Python,4,0,1,"linked accounts, bots removed",0,2022-10-04T09:59:55Z,2022-10-04T10:01:59Z,2022-10-04T10:01:05Z,,False,public,Python,False,False,False,,,,,,readme=False;license_file=False;packaging=False;tests=False;ci=False;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:03:59+00:00,2026-08-28T12:55:33+00:00,2026-08-28T15:04:00+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-vessel-detection,das-vessel-detection,UAH-PSI/das-vessel-detection,https://github.com/UAH-PSI/das-vessel-detection,github,github.com,UAH-PSI,,Vessel detection and localization from distributed acoustic sensing recordings.,included,Reusable DAS-specific detection system with GPL-3.0 licensing.,application-domain,detection;machine-learning;processing,das-native,GPL-3.0-only,osi-approved,,,,,2026-08-28,unchanged,,main,66,2,2025-06-06T00:36:23+02:00,2026-08-03T17:08:36+02:00,1,17492,3289,10857,Python=10767;Shell=90,Python,6,1,1,"linked accounts, bots removed",0,2025-06-05T22:26:24Z,2026-08-07T20:30:04Z,2026-08-03T15:08:36Z,,False,public,Python,True,False,False,GPL-3.0,,,,,readme=True;license_file=True;packaging=False;tests=False;ci=False;coverage=False;docs=True;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:03:59+00:00,2026-08-28T12:55:35+00:00,2026-08-28T15:04:00+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das4whales,DAS4Whales,DAS4Whales/DAS4Whales,https://github.com/DAS4Whales/DAS4Whales,github,github.com,DAS4Whales,https://das4whales.readthedocs.io,DAS processing and visualization for marine bioacoustics.,included,"Reusable DAS library for marine bioacoustics. Its CC BY-NC-SA license is source-available rather than OSI-approved, which the license class records instead of the inclusion decision.",application-domain,bioacoustics;detection;io;processing;visualization,das-native,CC-BY-NC-SA-4.0,source-available,das4whales,,,10.5281/zenodo.7760187,2026-08-28,unchanged,,main,619,52,2023-02-21T14:26:24-05:00,2026-08-20T10:05:43+02:00,7,138577,95434,14962,Python=14953;Web=9,Python,79,21,4,"linked accounts, bots removed",4,2023-02-21T19:26:59Z,2026-08-20T08:15:01Z,2026-08-20T08:05:43Z,2026-07-06T14:57:16Z,False,public,Python,True,True,True,NOASSERTION,52,805,,cmocean;dask;datetime;deprecation;h5py;librosa;matplotlib;netcdf4;nptdms;numpy;numpydoc;opencv-python;pandas;pyproj;pytest;scikit-image;scipy;sparse;tqdm;wget;xarray,readme=True;license_file=True;packaging=True;tests=True;ci=True;coverage=False;docs=True;examples=True;changelog=False;contributing=False;lint=False;typed=False,1,1,,,,conda_downloads_total=not_applicable,,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:00+00:00,2026-08-28T12:55:37+00:00,2026-08-28T15:04:18+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
dascore,DASCore,DASDAE/dascore,https://github.com/DASDAE/dascore,github,github.com,DASDAE,https://dascore.org,"General data model, I/O, processing, and visualization for distributed fiber sensing.",included,Reusable DAS-specific library with documented LGPL-3.0-or-later licensing and package releases.,core-framework,data-management;data-model;io;processing;visualization,das-native,LGPL-3.0-or-later,osi-approved,dascore,conda-forge/dascore,,10.26443/seismica.v3i2.1184,2026-08-28,unchanged,,master,530,5,2021-12-15T08:49:20-07:00,2026-08-21T13:34:41+02:00,18,130344,56377,63692,Jupyter=60;Python=63302;Shell=19;Web=311,Python,160,41,18,"linked accounts, bots removed",35,2021-10-29T15:34:47Z,2026-08-28T12:51:32Z,2026-08-21T11:34:41Z,2026-08-21T11:43:22Z,False,public,Python,True,True,True,NOASSERTION,7139,15898,49007,h5py;matplotlib;numpy;packaging;pandas;pint;pooch;pydantic;rich;scipy;tables;typing-extensions,readme=True;license_file=True;packaging=True;tests=True;ci=True;coverage=True;docs=True;examples=True;changelog=True;contributing=True;lint=True;typed=False,17,17,,,,,,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:01+00:00,2026-08-28T12:55:39+00:00,2026-08-28T15:04:52+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
dascorepy,dascorepy,DASDAE/dascorepy,https://github.com/DASDAE/dascorepy,github,github.com,DASDAE,,Conversion bridge between DASCore and DASPy data structures.,included,Reusable DAS interoperability package with an MIT license.,interoperability,data-model;interoperability,das-native,MIT,osi-approved,dascorepy,,,,2026-08-28,unchanged,,main,5,1,2026-05-08T11:22:18+02:00,2026-05-08T10:50:22+01:00,1,2535,33,2039,Python=2039,Python,0,0,1,"linked accounts, bots removed",0,2026-05-08T09:23:51Z,2026-05-08T09:50:22Z,2026-05-08T09:50:22Z,,False,public,Python,False,True,True,MIT,19,232,,dascore;daspy-toolbox;unidas,readme=True;license_file=True;packaging=True;tests=True;ci=True;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=True;typed=True,,,,,,conda_downloads_total=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:01+00:00,2026-08-28T12:55:43+00:00,2026-08-28T18:52:53+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
daseventnet,DASEventNet,Tieyuan/DASEventNet,https://github.com/Tieyuan/DASEventNet,github,github.com,Tieyuan,,ResNet-based microseismic event detection on DAS arrays.,included,"Reusable DAS detection model with an MIT license, distributed as scripts rather than an installable package.",machine-learning-detection,detection;machine-learning;seismology,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,main,4,0,2025-04-08T13:13:26-04:00,2025-04-08T13:18:02-04:00,1,10059,0,611,Python=611,Python,2,0,1,"linked accounts, bots removed",0,2025-04-08T17:04:31Z,2025-04-08T17:18:03Z,2025-04-08T17:18:02Z,,False,public,Python,False,False,False,MIT,,,,,readme=True;license_file=True;packaging=False;tests=False;ci=False;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:01+00:00,2026-08-28T12:55:45+00:00,2026-08-28T15:04:52+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
dasexplorer,DASexplorer,sermomon/DASexplorer,https://github.com/sermomon/DASexplorer,github,github.com,sermomon,https://sermomon.github.io/DASexplorer/,"Desktop application for DAS visualization, filtering, picking, and annotation.",included,Reusable DAS application explicitly licensed under GPL-3.0-or-later.,visualization-annotation,annotation;desktop-application;io;processing;visualization,das-native,GPL-3.0-or-later,osi-approved,dasexplorer,,,,2026-08-28,unchanged,,main,115,2,2026-06-27T11:41:35+02:00,2026-07-15T11:21:55+02:00,2,21896,1762,18415,Python=18409;Web=6,Python,7,3,1,"linked accounts, bots removed",4,2026-06-23T09:38:38Z,2026-07-15T09:22:36Z,2026-07-15T09:21:55Z,2026-07-10T10:50:42Z,False,public,Python,False,False,False,NOASSERTION,40,617,,das4whales;h5py;matplotlib;numpy;pillow;pyqt5;pyqtgraph;pyyaml;scipy,readme=True;license_file=True;packaging=True;tests=True;ci=False;coverage=False;docs=True;examples=True;changelog=False;contributing=False;lint=False;typed=False,,,,,,conda_downloads_total=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:01+00:00,2026-08-28T12:55:47+00:00,2026-08-28T15:05:04+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
dasgauge,dasgauge,UWGeoD/dasgauge,https://github.com/UWGeoD/dasgauge,github,github.com,UWGeoD,,Similarity measurement between two DAS datasets.,included,Reusable DAS-specific comparison package with an MIT license.,benchmarking,benchmarking;processing,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,main,7,0,2026-07-30T23:49:01-05:00,2026-08-22T01:23:00-05:00,2,12358,49,5858,Python=5858,Python,0,0,1,"linked accounts, bots removed",0,2026-07-31T04:49:00Z,2026-08-22T06:23:01Z,2026-08-22T06:23:00Z,,False,public,Python,False,True,False,MIT,,,,,readme=True;license_file=True;packaging=True;tests=True;ci=False;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:01+00:00,2026-08-28T12:55:49+00:00,2026-08-28T15:05:04+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
dasio,dasio,jxli2a/dasio,https://github.com/jxli2a/dasio,github,github.com,jxli2a,,"Basic input, output, and processing helpers for DAS file formats.",included,Reusable DAS-specific Python package with an MIT license.,data-management,data-management;io;processing,das-native,MIT,osi-approved,dasio,,,,2026-08-28,unchanged,,main,58,0,2026-06-25T11:41:09-05:00,2026-08-09T08:01:43-05:00,1,17323,6119,11009,C++=470;Python=10539,Python,0,0,1,"linked accounts, bots removed",0,2026-06-26T00:21:49Z,2026-08-09T13:03:26Z,2026-08-09T13:01:43Z,,False,public,Python,False,True,True,MIT,16,242,,h5py;joblib;matplotlib;numba;numpy;pandas;pyarrow;scipy;tqdm,readme=True;license_file=True;packaging=True;tests=True;ci=True;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,,conda_downloads_total=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:01+00:00,2026-08-28T12:55:52+00:00,2026-08-28T18:53:06+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
dasjax,dasjax,DASDAE/dasjax,https://github.com/DASDAE/dasjax,github,github.com,DASDAE,,JAX-compiled processing kernels and pipelines for DASCore.,included,"Reusable DAS processing package whose LICENSE file states LGPL-3.0, which GitHub does not auto-detect.",processing,parallel-computing;processing,das-native,LGPL-3.0-only,osi-approved,dasjax,,,,2026-08-28,unchanged,,main,5,0,2026-04-11T22:18:27+02:00,2026-04-13T21:34:43+02:00,1,8150,1687,5833,Python=5833,Python,0,0,1,"linked accounts, bots removed",0,2026-04-11T19:36:45Z,2026-08-27T13:29:00Z,2026-08-27T09:13:30Z,,False,public,Python,False,True,True,NOASSERTION,22,248,,dascore;jax;pandas;scipy,readme=True;license_file=True;packaging=True;tests=True;ci=True;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=True;typed=False,,,,,,conda_downloads_total=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:01+00:00,2026-08-28T12:55:54+00:00,2026-08-28T18:53:19+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
daslab,DASLab,yohanesnuwara/DASLab,https://github.com/yohanesnuwara/DASLab,github,github.com,yohanesnuwara,,Signal-processing and analysis routines for DAS fiber-optic data.,included,Reusable DAS-specific Python library with GPL-3.0 licensing and an archived release.,processing,io;processing;visualization,das-native,GPL-3.0-only,osi-approved,,,,10.5281/zenodo.5797215,2026-08-28,unchanged,,main,117,0,2021-05-09T12:00:01+07:00,2025-08-30T10:32:19+02:00,1,169183,47891,4563,Jupyter=2308;Python=2255,Jupyter,77,24,1,"linked accounts, bots removed",1,2021-05-09T05:00:00Z,2025-08-30T08:32:19Z,2025-08-30T08:32:19Z,2021-12-22T04:10:14Z,False,public,Jupyter Notebook,False,False,False,GPL-3.0,,,,,readme=True;license_file=True;packaging=False;tests=False;ci=False;coverage=False;docs=False;examples=True;changelog=False;contributing=False;lint=False;typed=False,1,1,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:02+00:00,2026-08-28T12:55:56+00:00,2026-08-28T15:05:04+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
dasmart-infra,DASmartInfra,Pengchao-He/DASmartInfra,https://github.com/Pengchao-He/DASmartInfra,github,github.com,Pengchao-He,,"Algorithms, benchmarks, and edge-inference components for DAS infrastructure monitoring.",included,Reusable DAS-specific package under Apache-2.0.,application-domain,benchmarking;detection;machine-learning;processing,das-native,Apache-2.0,osi-approved,,,,,2026-08-28,unchanged,,main,2,0,2026-08-10T02:54:57-06:00,2026-08-10T12:19:30-06:00,2,1161,1,87,Python=87,Python,0,0,1,"linked accounts, bots removed",0,2026-08-10T08:53:46Z,2026-08-10T18:19:31Z,2026-08-10T18:19:30Z,,False,public,Python,True,False,True,Apache-2.0,,,,,readme=True;license_file=True;packaging=False;tests=False;ci=True;coverage=False;docs=True;examples=True;changelog=False;contributing=True;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:02+00:00,2026-08-28T12:55:58+00:00,2026-08-28T15:05:04+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
dasmasw,dasmasw,DASDAE/dasmasw,https://github.com/DASDAE/dasmasw,github,github.com,DASDAE,,Multichannel analysis of surface waves specialized for DAS data.,excluded,"The repository is private and returns 404 to anyone unauthenticated, so it is not public software. Earlier runs catalogued it because collection is authenticated and the API answered normally.",processing,processing;surface-waves;visualization,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,master,2,0,2024-04-08T10:12:01-06:00,2024-04-08T10:14:51-06:00,1,25,2,,,,,,,,,,,,,,,,,,,,,,,,readme=True;license_file=True;packaging=False;tests=False;ci=False;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,lines=not_published,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:02+00:00,,2026-08-28T15:05:04+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
dasmatrix,DASMatrix,QIanGua/DASMatrix,https://github.com/QIanGua/DASMatrix,github,github.com,QIanGua,https://qiangua.github.io/DASMatrix,"Python framework for DAS acquisition, processing, and analysis.",included,"Reusable DAS-specific Python framework with an MIT license, published documentation, and continuous integration.",core-framework,data-model;io;processing;visualization,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,main,66,0,2025-04-12T09:12:46+08:00,2026-02-28T20:16:12+08:00,1,164723,29145,19067,Jupyter=203;Python=18864,Python,1,0,1,"linked accounts, bots removed",0,2025-04-12T07:06:05Z,2026-02-28T12:16:28Z,2026-02-28T12:16:12Z,,False,public,HTML,True,True,True,,,,,,readme=True;license_file=False;packaging=True;tests=True;ci=True;coverage=False;docs=True;examples=True;changelog=False;contributing=True;lint=True;typed=True,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:02+00:00,2026-08-28T12:56:00+00:00,2026-08-28T15:05:04+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
daspack,DASPack,asleix/daspack,https://github.com/asleix/daspack,github,github.com,asleix,,Lossless and fixed-accuracy lossy compression for large DAS datasets.,included,Reusable DAS-specific compressor with a BSD-3-Clause license and package release.,compression-storage,compression;io;streaming,das-native,BSD-3-Clause,osi-approved,daspack-dev,,,10.1093/gji/ggaf397,2026-08-28,unchanged,,main,20,0,2025-07-11T17:03:07+02:00,2025-10-16T16:06:15+01:00,2,15233,8218,6515,Python=890;Rust=5625,Rust,25,5,1,"linked accounts, bots removed",0,2025-07-11T15:05:39Z,2025-10-16T15:06:21Z,2025-10-16T15:06:15Z,,False,public,Rust,True,True,False,BSD-3-Clause,81,318,,numpy,readme=True;license_file=True;packaging=True;tests=True;ci=False;coverage=False;docs=False;examples=True;changelog=False;contributing=False;lint=False;typed=False,9,9,,,,conda_downloads_total=not_applicable,,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:02+00:00,2026-08-28T12:56:02+00:00,2026-08-28T15:05:18+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
daspy,DASPy,HMZ-03/DASPy,https://github.com/HMZ-03/DASPy,github,github.com,HMZ-03,https://daspy-tutorial.readthedocs.io,Python toolbox for DAS seismology and common array-processing workflows.,included,"Reusable DAS-specific toolbox with an MIT license, documentation, and package releases.",processing,io;processing;seismology;visualization,das-native,MIT,osi-approved,daspy-toolbox,conda-forge/daspy-toolbox,,10.1785/0220240124,2026-08-28,unchanged,,main,457,10,2024-03-27T17:36:22+08:00,2026-06-26T09:34:37+08:00,4,32713,33746,7242,Jupyter=54;Python=7188,Python,157,30,3,"linked accounts, bots removed",10,2024-03-27T10:47:41Z,2026-06-26T01:35:20Z,2026-06-26T01:34:37Z,2026-06-26T01:36:36Z,False,public,Jupyter Notebook,False,False,True,MIT,340,2489,7168,geographiclib;h5py;matplotlib;nptdms;numpy;pyproj;scipy;segyio;tqdm,readme=True;license_file=True;packaging=True;tests=False;ci=True;coverage=False;docs=False;examples=True;changelog=False;contributing=True;lint=False;typed=False,19,19,,,,,,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:04+00:00,2026-08-28T12:56:04+00:00,2026-08-28T15:05:52+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
dasstore,DASstore,niyiyu/DASstore,https://github.com/niyiyu/DASstore,github,github.com,niyiyu,,Object-storage and data-access tools designed for DAS datasets.,included,Reusable DAS storage software with GPL-3.0 licensing.,compression-storage,data-management;io;object-storage,das-native,GPL-3.0-only,osi-approved,dasstore,,,10.5281/zenodo.10714765,2026-08-28,unchanged,,main,127,6,2022-11-15T13:58:20-08:00,2026-05-07T17:37:47-07:00,3,38070,21522,2171,Jupyter=985;Python=1184;Shell=2,Python,21,7,3,"linked accounts, bots removed",4,2022-11-15T21:58:19Z,2026-05-08T00:37:48Z,2026-05-08T00:37:47Z,2024-09-24T20:37:04Z,False,public,Jupyter Notebook,False,True,True,GPL-3.0,19,225,,fsspec;numpy;pandas;s3fs;tiledb;zarr,readme=True;license_file=True;packaging=True;tests=True;ci=True;coverage=True;docs=False;examples=True;changelog=False;contributing=False;lint=True;typed=False,1,1,,,,conda_downloads_total=not_applicable,,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:05+00:00,2026-08-28T12:56:06+00:00,2026-08-28T18:54:32+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
dastools,dastools,geofon/dastools,https://git.gfz-potsdam.de/geofon/dastools,gitlab,git.gfz-potsdam.de,geofon,,"Reading, conversion, and metadata tooling for DAS acquisitions, from GEOFON.",included,Reusable DAS tool set with GPL-3.0-or-later licensing and PyPI releases; the first catalogued project hosted outside GitHub.,data-management,conversion;data-management;io;metadata,das-native,GPL-3.0-or-later,osi-approved,dastools,,,,2026-08-28,unchanged,,master,842,6,2019-06-17T01:06:48+02:00,2025-12-27T10:12:07+01:00,1,40003,26254,11297,Python=11297,Python,2,0,1,distinct commit author names,15,2019-06-17T01:05:32.741+02:00,2025-12-27T10:12:12.486+01:00,2025-12-27T10:12:07.000+01:00,2025-08-26T20:53:40.164+02:00,False,public,Python,True,True,True,gpl-3.0+,42,456,,click;fastapi;h5py;httpx;jinja2;jsonschema;numpy;obspy;pydantic;pytest-cov;scipy;sphinx;tqdm;uvicorn,readme=True;license_file=True;packaging=True;tests=True;ci=True;coverage=False;docs=True;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,commits=unavailable,conda_downloads_total=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:04:05+00:00,2026-08-28T12:56:08+00:00,2026-08-28T15:06:05+00:00,2026-08-28T15:03:55+00:00,2026-08-28T19:47:27+00:00
